"word.subject","word.cluster_labels","word.question_type","word.score","word.sentiment_score"
1,17,"willing",20,-0.771744713187218
1,5,"willing",62,0.75802755355835
1,13,"willing",61,0.573689103126526
1,23,"willing",100,0.714885711669922
1,4,"willing",73,0.731200695037842
1,4,"willing",44,-0.728010952472687
1,20,"willing",91,-0.747337371110916
1,14,"willing",39,-0.565425992012024
2,4,"willing",60,0.700961112976074
2,16,"willing",65,0.660681486129761
2,18,"willing",84,0.738454341888428
2,5,"willing",25,0.664202928543091
2,15,"willing",10,0.716869711875916
2,10,"willing",55,0.695410847663879
2,12,"willing",28,-0.757560282945633
2,19,"willing",91,0.571426868438721
3,24,"willing",30,0.391091346740723
3,1,"willing",30,0.638033032417297
3,18,"willing",91,0.444761276245117
3,13,"willing",30,0.320042848587036
3,8,"willing",100,0.402666091918945
3,12,"willing",60,0.270068049430847
3,12,"willing",95,-0.711745262145996
3,13,"willing",10,0.414975047111511
4,21,"willing",6,-0.709005445241928
4,1,"willing",23,-0.771744713187218
4,25,"willing",100,0.695410847663879
4,12,"willing",43,0.710372924804688
4,7,"willing",50,-0.271403670310974
4,12,"willing",47,0.543074131011963
4,21,"willing",65,-0.156125068664551
4,7,"willing",0,0.731200695037842
5,16,"willing",50,0.391091346740723
5,2,"willing",0,-0.317578494548798
5,15,"willing",0,0.678370833396912
5,8,"willing",60,-0.356299221515656
5,6,"willing",0,-0.788854420185089
5,2,"willing",0,-0.798667669296265
5,16,"willing",0,-0.757560282945633
5,24,"willing",0,0.700961112976074
6,18,"willing",76,0.391091346740723
6,0,"willing",89,0.75802755355835
6,1,"willing",0,-0.728010952472687
6,0,"willing",63,0.442355394363403
6,0,"willing",61,0.233093976974487
6,0,"willing",100,0.508263111114502
6,19,"willing",83,-0.549875050783157
6,6,"willing",20,0.670098781585693
7,24,"willing",36,0.548390865325928
7,18,"willing",65,0.642176866531372
7,14,"willing",10,-0.803444087505341
7,3,"willing",92,0.763096928596497
